#HGNC ID	Score
ACOT7	0.10089136
ACOT8	0.15508431
ACOX1	0.09171241
ACOX2	0.08483849
ACOX3	0.07743312
ACOXL	0.06705031
ACP1	0.22320240
ACP2	0.11896038
ACP4	0.08446712
ACP5	0.11813490
ACP6	0.07170426
ACP7	0.09026340
ACPP	0.07900819
ACR	0.15746166
ACRBP	0.06455477
ACRV1	0.07369504
ACSBG1	0.08323930
ACSBG2	0.06534342
ACSF2	0.10147064
ACSF3	0.13433627
ACSL1	0.26951630
ACSL3	0.22571408
ACSL5	0.08343119
ACSL6	0.16229477
ACSM1	0.05423862
ACSM2A	0.06550194
ACSM2B	0.07350609
ACSM3	0.10252574
ACSM4	0.16259133
ACSM5	0.06217771
ACSM6	0.06251547
ACSS1	0.07157136
ACSS2	0.06014851
ACSS3	0.07736640
ACTA1	0.98258504
ACTA2	0.99847101
ACTB	0.99993014
ACTBL2	0.95500280
ACTC1	0.99753881
ACTG1	0.95895022
ACTG2	0.98474187
ACTL10	0.84114692
ACTL6A	0.99944551
ACTL6B	0.99927818
ACTL7A	0.79932058
ACTL7B	0.68375068
ACTL8	0.53550697
ACTL9	0.57400095
ACTN1	0.99937029
ACTN2	0.99944690
ACTN3	0.78073889
ACTN4	0.99988083
ACTR10	0.28308470
ACTR1A	0.98827221
ACTR1B	0.41513753
ACTR2	0.96444457
ACTR3	0.99143526
ACTR3B	0.99014405
ACTR3C	0.12823337
ACTR5	0.50923715
ACTR6	0.45033954
ACTR8	0.24615401
ACTRT2	0.42554596
ACTRT3	0.69664719
ACVR1	0.99993730
ACVR1B	0.99995546
ACVR1C	0.78355166
ACVR2A	0.99990667
ACVR2B	0.99936793
ACVRL1	0.79683288
ACY1	0.04984945
ACY3	0.12510220
ACYP1	0.12421345
ACYP2	0.07326193
ADA	0.05626174
ADA2	0.06957599
ADAD1	0.62664170
ADAD2	0.05486449
ADAL	0.13257617
ADAM10	0.99998211
ADAM11	0.10758435
ADAM12	0.28585467
ADAM15	0.10719135
ADAM17	0.99228442
ADAM18	0.06980887
ADAM19	0.11283960
ADAM2	0.12668047
ADAM20	0.14365873
ADAM21	0.06423932
ADAM22	0.61357410
ADAM23	0.65277833
ADAM28	0.16760816
ADAM29	0.09957159
ADAM30	0.07178397
ADAM32	0.04891533
ADAM33	0.13973420
ADAM7	0.06432101
ADAM8	0.06309781
ADAM9	0.58364011
ADAMDEC1	0.08213933
ADAMTS1	0.78952370
ADAMTS10	0.33152922
ADAMTS12	0.29955859
ADAMTS13	0.18958297
ADAMTS14	0.08637733
ADAMTS15	0.37909923
ADAMTS16	0.06648548
ADAMTS17	0.07662985
ADAMTS18	0.08104737
ADAMTS19	0.33831241
ADAMTS2	0.43824822
ADAMTS20	0.06816355
ADAMTS3	0.22288878
ADAMTS4	0.22699124
ADAMTS5	0.79744005
ADAMTS6	0.69654372
ADAMTS7	0.14087253
ADAMTS8	0.28119187
ADAMTS9	0.19467909
ADAMTSL1	0.16994289
ADAMTSL2	0.05502037
ADAMTSL3	0.06805160
ADAMTSL4	0.09204029
ADAMTSL5	0.14873397
ADAP1	0.55634552
ADAP2	0.11032297
ADAR	0.91649887
ADARB1	0.33011664
ADARB2	0.35039593
ADAT1	0.08519335
ADAT2	0.12393125
ADAT3	0.17033467
ADCK1	0.11021200
ADCK2	0.08225902
ADCK5	0.30656638
ADCY1	0.99894502
ADCY10	0.57603673
ADCY2	0.99113540
ADCY3	0.61647400
ADCY4	0.47595313
ADCY5	0.99979848
ADCY6	0.99715405
ADCY7	0.28756350
ADCY8	0.95389947
ADCY9	0.98553654
ADCYAP1	0.82754975
ADCYAP1R1	0.21438008
ADD1	0.59118719
ADD2	0.90459432
ADD3	0.78265213
ADGB	0.11437277
ADGRA1	0.38731610
ADGRA2	0.67500074
ADGRA3	0.86613457
ADGRB1	0.39383252
ADGRB2	0.57624222
ADGRB3	0.96336299
ADGRD1	0.07145697
ADGRD2	0.04891659
ADGRE1	0.07555665
ADGRE2	0.16713368
ADGRE3	0.11754119
ADGRE5	0.06745988
ADGRF1	0.11238771
ADGRF2	0.12895762
ADGRF3	0.13517377
ADGRF4	0.06041722
ADGRF5	0.16959695
ADGRG1	0.05005197
ADGRG3	0.09572294
ADGRG5	0.06796891
ADGRG6	0.22680704
ADGRG7	0.08335945
ADGRL1	0.93498580
ADGRL2	0.85961882
ADGRL3	0.90886504
ADGRL4	0.10251180
ADGRV1	0.05662312
ADH1A	0.10381021
ADH1B	0.10099502
ADH1C	0.15075309
ADH4	0.07591557
ADH5	0.09220531
ADH6	0.07227109
ADH7	0.14475255
ADHFE1	0.06919607
ADI1	0.06770795
ADIG	0.10982166
ADIPOQ	0.58422966
ADIPOR1	0.75543079
ADIPOR2	0.78861831
ADIRF	0.09432835
ADK	0.25364411
ADM	0.51475207
ADM2	0.17063230
ADM5	0.09617481
ADNP	0.32836092
ADNP2	0.16420915
ADO	0.66653878
ADORA1	0.72754813
ADORA2A	0.76860064
ADORA2B	0.22317775
ADORA3	0.14851770
ADPGK	0.13198121
ADPRH	0.11826667
ADPRHL1	0.06861289
ADPRHL2	0.13191538
ADPRM	0.10159464
ADRA1A	0.19395532
ADRA1B	0.70750119
ADRA1D	0.28937705
ADRA2A	0.29829910
ADRA2B	0.23224521
ADRA2C	0.90215247
ADRB1	0.74986558
ADRB2	0.99882505
ADRB3	0.44835051
ADRM1	0.29273028
ADSL	0.09241032
ADSS	0.60973206
ADSSL1	0.04852940
ADTRP	0.09565195
AEBP1	0.10190357
AEBP2	0.93098520
AEN	0.27326934
AES	0.95870140
AFAP1	0.08327085
AFAP1L1	0.05911722
AFAP1L2	0.12353169
AFDN	0.99659085
AFF1	0.20907039
AFF3	0.89383749
AFF4	0.82255357
AFG1L	0.05971191
AFG3L2	0.20556109
AFM	0.07575749
AFMID	0.04904967
AFP	0.06314872
AFTPH	0.46868056
AGA	0.04887317
AGAP1	0.41547824
AGAP2	0.86645167
AGAP3	0.57463599
AGAP4	0.11243983
AGAP5	0.09868873
AGAP6	0.08403657
AGBL1	0.07117974
AGBL2	0.09378088
AGBL3	0.08696575
AGBL4	0.09227029
AGBL5	0.39848997
AGER	0.07122901
AGFG1	0.30559188
AGFG2	0.06698238
AGGF1	0.09082949
AGK	0.05573716
AGL	0.09354866
AGMAT	0.09426640
AGMO	0.04890082
AGO1	0.99936898
AGO2	0.99998949
AGO3	0.93665751
AGO4	0.69753537
AGPAT1	0.38658593
AGPAT2	0.08233055
AGPAT3	0.27804647
AGPAT4	0.19700867
AGPAT5	0.06158470
AGPS	0.88880634
AGR2	0.07806137
AGR3	0.05566271
AGRN	0.15423199
AGRP	0.12999287
AGT	0.75124698
AGTPBP1	0.21420800
AGTR1	0.33239066
AGTRAP	0.07826231
AGXT	0.08222961
AGXT2	0.09834084
AHCTF1	0.48441945
AHCY	0.74305117
AHCYL1	0.98884300
AHCYL2	0.75241242
AHDC1	0.84632539
AHI1	0.08042820
AHNAK	0.08960870
AHNAK2	0.15804201
AHR	0.98734024
AHRR	0.10281730
AHSA1	0.50718623
AHSG	0.36784597
AHSP	0.14209810
AICDA	0.14208789
AIDA	0.05226775
AIF1	0.07746994
AIF1L	0.06189857
AIFM2	0.11821868
AIFM3	0.19761452
AIG1	0.06437436
AIM2	0.28379981
AIMP1	0.14079812
AIMP2	0.08456668
AIP	0.30910362
AIPL1	0.10648692
AIRE	0.22932635
AJAP1	0.45545618
AJM1	0.30535318
AJUBA	0.84910393
AK1	0.22241501
AK2	0.04917190
AK3	0.09378292
AK4	0.19182376
AK5	0.28533394
AK7	0.05607354
AK8	0.22455159
AK9	0.05750065
AKAIN1	0.13477665
AKAP1	0.60801123
AKAP10	0.87396163
AKAP11	0.35053766
AKAP12	0.38094922
AKAP13	0.52183129
AKAP2	0.09879282
AKAP3	0.13555852
AKAP5	0.99102352
AKAP6	0.95594652
AKAP7	0.42155279
AKAP8	0.31398432
AKAP8L	0.09102746
AKAP9	0.37357809
AKIP1	0.08674410
AKIRIN1	0.22508749
AKIRIN2	0.56290939
AKNA	0.06239876
AKNAD1	0.09527565
AKR1A1	0.07989822
AKR1B1	0.16579322
AKR1B10	0.11450627
AKR1B15	0.09184217
AKR1C1	0.04832421
AKR1C2	0.06894098
AKR1C3	0.07358073
AKR1C4	0.05343857
AKR1D1	0.09445900
AKR1E2	0.05365420
AKR7A2	0.15162231
AKR7A3	0.11316314
AKR7L	0.05151173
AKT1	0.99967150
AKT1S1	0.64513710
AKT2	0.98973311
AKT3	0.97599335
AKTIP	0.88473698
ALAD	0.07028918
ALAS1	0.40349881
ALB	0.85886970
ALCAM	0.50773048
ALDH16A1	0.04852129
ALDH18A1	0.39587012
ALDH1A1	0.65856049
ALDH1A2	0.70751930
ALDH1A3	0.58509079
ALDH1B1	0.09382855
ALDH1L1	0.04939424
ALDH1L2	0.09300355
ALDH2	0.09792697
ALDH3A1	0.10357877
ALDH3A2	0.06068815
ALDH3B1	0.05545497
ALDH3B2	0.06656234
ALDH4A1	0.07666295
ALDH5A1	0.06015987
ALDH6A1	0.05019623
ALDH7A1	0.09533734
ALDH8A1	0.09583129
ALDH9A1	0.04814113
ALDOA	0.69904950
ALDOB	0.06818994
ALDOC	0.32114451
ALG1	0.11052387
ALG10	0.08169728
ALG10B	0.09731782
ALG11	0.12519621
ALG12	0.06986728
ALG14	0.06007403
ALG1L	0.06032968
ALG2	0.07435749
ALG3	0.13160466
ALG5	0.06410652
ALG6	0.08389365
ALG8	0.09478403
ALG9	0.06001282
ALK	0.71846184
ALKAL1	0.05722062
ALKAL2	0.13714805
ALKBH1	0.08294852
ALKBH2	0.14891555
ALKBH3	0.07365605
ALKBH4	0.11462880
ALKBH5	0.85511876
ALKBH6	0.06850631
ALKBH7	0.20960155
ALKBH8	0.06268570
ALLC	0.09590841
ALMS1	0.21792973
ALOX12	0.07584406
ALOX12B	0.09556468
ALOX15	0.19379707
ALOX15B	0.10029347
ALOX5	0.09726497
ALOX5AP	0.15799518
ALOXE3	0.14691623
ALPG	0.11849923
ALPI	0.22174783
ALPK1	0.06110726
ALPK2	0.06708525
ALPK3	0.05574648
ALPL	0.55652595
ALPP	0.19019905
ALS2	0.11402860
ALS2CL	0.08706183
ALS2CR12	0.09471889
ALX1	0.98721496
ALX3	0.15443700
ALX4	0.95866383
ALYREF	0.99938011
AMACR	0.10862764
AMBN	0.17010841
AMBP	0.16531810
AMBRA1	0.65377193
AMD1	0.71540579
AMDHD1	0.10260121
AMDHD2	0.06290375
AMER2	0.15667960
AMER3	0.05741389
AMFR	0.22420134
AMH	0.71728522
AMHR2	0.21677004
AMIGO1	0.72991931
AMIGO2	0.14619047
AMIGO3	0.23071724
AMMECR1L	0.64125150
AMN	0.05972957
AMN1	0.09879806
AMOTL1	0.48295857
AMOTL2	0.22834346
AMPD1	0.28289503
AMPD2	0.35108307
AMPD3	0.13177683
AMPH	0.36236160
AMT	0.08039911
AMTN	0.12002644
AMY1A	0.06358981
AMY1B	0.05335859
AMY1C	0.16363937
AMY2A	0.07729612
AMY2B	0.06744634
AMZ1	0.09964202
AMZ2	0.08462373
ANAPC1	0.15098219
ANAPC10	0.25007410
ANAPC11	0.09898376
ANAPC13	0.11810016
ANAPC15	0.20080873
ANAPC16	0.07931034
ANAPC2	0.92989732
ANAPC4	0.18293692
ANAPC5	0.78182059
ANAPC7	0.86253471
ANG	0.34674846
ANGEL1	0.17259213
ANGEL2	0.08583796
ANGPT1	0.98875408
ANGPT2	0.60638061
ANGPT4	0.50815079
ANGPTL1	0.37483803
ANGPTL2	0.21772390
ANGPTL3	0.10712913
ANGPTL4	0.54330824
ANGPTL5	0.14057193
ANGPTL6	0.17503087
ANGPTL7	0.12245745
ANGPTL8	0.08777193
ANHX	0.09903161
ANK1	0.97410452
ANK2	0.94257157
ANK3	0.92281101
ANKAR	0.21258605
ANKDD1A	0.13761068
ANKDD1B	0.13425721
ANKEF1	0.13963724
ANKFN1	0.20070049
ANKFY1	0.68577024
ANKH	0.16535774
ANKHD1	0.96385001
ANKIB1	0.82166633
ANKK1	0.10405470
ANKLE1	0.29234563
ANKLE2	0.06850041
ANKMY1	0.10363933
ANKMY2	0.07491289
ANKRA2	0.09190342
ANKRD1	0.13862704
ANKRD10	0.08894645
ANKRD11	0.59580174
ANKRD12	0.21343542
ANKRD13A	0.07126944
ANKRD13B	0.42431521
ANKRD13C	0.34559005
ANKRD13D	0.35882043
ANKRD16	0.08096104
ANKRD17	0.79771652
ANKRD18A	0.07418708
ANKRD18B	0.06704164
ANKRD2	0.19772382
ANKRD20A1	0.14188668
ANKRD20A2	0.15966646
ANKRD20A3	0.12371608
ANKRD20A4	0.15808567
ANKRD22	0.05852657
ANKRD23	0.05679578
ANKRD24	0.07402189
ANKRD26	0.08659781
ANKRD27	0.18858229
ANKRD28	0.64976973
ANKRD29	0.04885920
ANKRD30A	0.07749709
ANKRD30B	0.05528555
ANKRD30BL	0.04964078
ANKRD31	0.10948930
ANKRD33	0.17593421
ANKRD33B	0.12589037
ANKRD34A	0.84831888
ANKRD34B	0.27962204
ANKRD34C	0.13386612
ANKRD35	0.06473422
ANKRD36	0.08849617
ANKRD36C	0.05357269
ANKRD37	0.12265640
ANKRD39	0.08071048
ANKRD40	0.07791600
ANKRD42	0.08843155
ANKRD44	0.34883908
ANKRD45	0.11427006
ANKRD46	0.29069706
ANKRD49	0.08346062
ANKRD50	0.32219906
ANKRD52	0.96002687
ANKRD53	0.06923595
ANKRD54	0.08574147
ANKRD55	0.08765696
ANKRD6	0.09981860
ANKRD60	0.06695694
ANKRD61	0.12754379
ANKRD62	0.07701234
ANKRD63	0.16321724
ANKRD65	0.09894636
ANKRD66	0.10110635
ANKRD7	0.07371318
ANKRD9	0.20835462
ANKS1A	0.42998319
ANKS1B	0.34137326
ANKS3	0.05361948
ANKS4B	0.16698127
ANKS6	0.06341662
ANKUB1	0.09422526
ANKZF1	0.23761067
ANLN	0.75302176
ANO1	0.28449950
ANO10	0.06740158
ANO2	0.12392199
ANO3	0.19449382
ANO4	0.45418591
ANO5	0.08316421
ANO6	0.14917201
ANO7	0.12803463
ANO8	0.90122405
ANO9	0.08013432
ANP32A	0.20288343
ANP32B	0.76006248
ANP32D	0.07988376
ANP32E	0.76938781
ANPEP	0.17570820
ANTXR1	0.69828196
ANTXR2	0.41761458
ANTXRL	0.00000000
ANXA1	0.24060785
ANXA10	0.04912323
ANXA11	0.05779556
ANXA13	0.12151354
ANXA2	0.07457966
ANXA2R	0.14486411
ANXA3	0.08285339
ANXA4	0.06126079
ANXA5	0.23193382
ANXA6	0.16170896
ANXA7	0.14335915
ANXA8L1	0.11348107
ANXA9	0.09793554
AOAH	0.04847259
AOC1	0.35461938
AOC2	0.21311861
AOC3	0.18274563
AOPEP	0.11404601
AOX1	0.08775037
AP1AR	0.32035428
AP1B1	0.96086089
AP1G1	0.95915411
AP1G2	0.08325568
AP1M1	0.22478945
AP1M2	0.09125039
AP1S1	0.23661512
AP1S3	0.08494337
AP2A1	0.94527814
AP2A2	0.76606872
AP2B1	0.99821770
AP2M1	0.99247485
AP2S1	0.84472372
AP3B1	0.43680173
AP3B2	0.58710045
AP3D1	0.32899480
AP3M1	0.24396374
AP3M2	0.06315160
AP3S1	0.23792315
AP3S2	0.00000000
AP4B1	0.09812908
AP4E1	0.38440526
AP4M1	0.17689326
AP4S1	0.08766638
AP5B1	0.09824793
AP5M1	0.17573868
AP5S1	0.11544337
AP5Z1	0.15784215
APAF1	0.22361514
APBA1	0.90119973
APBA2	0.42452183
APBA3	0.27242835
APBB1	0.99616950
APBB1IP	0.25060101
APBB2	0.20841893
APBB3	0.26677480
APC	0.99182972
APC2	0.79907083
APCDD1	0.08124801
APCDD1L	0.11204928
APCS	0.11225977
APEH	0.19623693
APEX1	0.28788621
APH1A	0.48923451
APH1B	0.76723020
API5	0.73471643
APIP	0.13817698
APLF	0.07816752
APLNR	0.34350592
APLP1	0.61522081
APLP2	0.97380623
APMAP	0.08078163
APOA1	0.55950015
APOA2	0.06693235
APOA4	0.22930515
APOA5	0.35397616
APOB	0.30419972
APOBEC1	0.10093589
APOBEC2	0.06523131
APOBEC3A	0.07474927
APOBEC3B	0.09928760
APOBEC3C	0.09048281
APOBEC3D	0.05998055
APOBEC3F	0.07016912
APOBEC3G	0.07238970
APOBEC3H	0.11422550
APOBEC4	0.12068637
APOBR	0.06640286
APOC1	0.04945795
APOC2	0.06356044
APOC3	0.11418473
APOD	0.18950426
APOE	0.75880764
APOF	0.06591306
APOH	0.07786904
APOL1	0.14461515
APOL2	0.08771127
APOL3	0.08257167
APOL4	0.07719546
APOL5	0.12005496
APOL6	0.11470284
APOLD1	0.29490626
APOM	0.05963919
APOPT1	0.07856877
APP	0.97976386
APPBP2	0.93319917
APPL1	0.69240417
APPL2	0.24437099
APRT	0.24407424
APTX	0.09835016
AQP1	0.11829470
AQP10	0.10757974
AQP11	0.09889365
AQP12A	0.08935334
AQP12B	0.10214837
AQP2	0.53793631
AQP3	0.17727592
AQP4	0.30206782
AQP5	0.17493898
AQP6	0.17267934
AQP7	0.19791386
AQP8	0.06140135
AQP9	0.08781008
AQR	0.64014662
ARAP1	0.11229925
ARAP2	0.05484019
ARAP3	0.30188506
ARC	0.56076031
ARCN1	0.56408799
AREG	0.96268039
AREL1	0.17873016
ARF1	0.93633384
ARF3	0.57003399
ARF4	0.88370435
ARF5	0.29298622
ARF6	0.97499374
ARFGAP1	0.23627445
ARFGAP2	0.45948741
ARFGAP3	0.13635309
ARFGEF1	0.99968507
ARFGEF2	0.99526709
ARFGEF3	0.41182148
ARFIP1	0.34742065
ARFIP2	0.89951542
ARFRP1	0.06867321
ARG1	0.11071898
ARG2	0.07134218
ARGFX	0.21145246
ARGLU1	0.95203962
ARHGAP1	0.24487220
ARHGAP10	0.05917880
ARHGAP11A	0.08624658
ARHGAP11B	0.05933271
ARHGAP12	0.08632110
ARHGAP15	0.21615303
ARHGAP17	0.68180564
ARHGAP18	0.19140583
ARHGAP19	0.07538745
ARHGAP20	0.08509320
ARHGAP21	0.72225335
ARHGAP22	0.10130661
ARHGAP23	0.19678975
ARHGAP24	0.08831809
ARHGAP25	0.11917296
ARHGAP26	0.74789832
ARHGAP27	0.09468193
ARHGAP28	0.14009406
ARHGAP29	0.34336469
ARHGAP30	0.11785596
ARHGAP31	0.47241693
ARHGAP32	0.91880957
ARHGAP33	0.19001657
ARHGAP35	0.95407338
ARHGAP39	0.09978594
ARHGAP40	0.22771196
ARHGAP42	0.15351364
ARHGAP44	0.45389773
ARHGAP45	0.14608273
ARHGAP5	0.47009240
ARHGAP8	0.05637751
ARHGAP9	0.10109521
ARHGDIA	0.31340796
ARHGDIB	0.10560429
ARHGDIG	0.08363014
ARHGEF1	0.80875422
ARHGEF10	0.05274506
ARHGEF10L	0.09387675
ARHGEF11	0.79395614
ARHGEF12	0.72086837
ARHGEF15	0.07108511
ARHGEF16	0.06476486
ARHGEF17	0.45473162
ARHGEF18	0.46079283
ARHGEF19	0.08690858
ARHGEF2	0.91617459
ARHGEF25	0.11038092
ARHGEF26	0.08911852
ARHGEF28	0.08684230
ARHGEF3	0.88684366
ARHGEF33	0.16684684
ARHGEF35	0.12370739
ARHGEF37	0.09770189
ARHGEF38	0.07690595
ARHGEF39	0.08540187
ARHGEF4	0.14104196
ARHGEF40	0.36288221
ARHGEF5	0.15801091
ARHGEF7	0.99925817
ARID1A	0.99995073
ARID1B	0.96296693
ARID2	0.90419276
ARID3A	0.32518375
ARID3B	0.75058291
ARID3C	0.64288229
ARID4A	0.99822879
ARID4B	0.99846666
ARID5A	0.39285830
ARID5B	0.85967895
ARIH1	0.98793133
ARIH2	0.63184048
ARIH2OS	0.17933417
ARL1	0.13028683
ARL10	0.13147586
ARL11	0.17656224
ARL13B	0.07794395
ARL14	0.13686202
ARL14EP	0.06280173
ARL14EPL	0.09947159
ARL15	0.10982680
ARL16	0.05729413
ARL17A	0.11814174
ARL17B	0.10975577
ARL2	0.09873391
ARL2BP	0.05296734
ARL3	0.28235225
ARL4A	0.21710387
ARL4C	0.43905119
ARL4D	0.07983319
ARL5A	0.05778801
ARL5B	0.11998166
ARL5C	0.15205588
ARL6	0.17617432
ARL6IP1	0.12982973
ARL6IP4	0.05623798
ARL6IP5	0.05255728
ARL6IP6	0.09219596
ARL8A	0.33098002
ARL8B	0.30527450
ARL9	0.12827478
ARMC1	0.44052892
ARMC10	0.07395829
ARMC12	0.06881165
ARMC2	0.07119300
ARMC3	0.04976167
ARMC4	0.70406828
ARMC5	0.12879608
ARMC6	0.08450797
ARMC7	0.07780418
ARMC8	0.96906278
ARMC9	0.05977998
ARMH1	0.07272132
ARMH2	0.06116622
ARMH3	0.12615699
ARMH4	0.07084750
ARMS2	0.24438357
ARMT1	0.11086350
ARNT	0.97811440
ARNT2	0.39549835
ARNTL	0.99870810
ARNTL2	0.05033147
ARPC1A	0.64233137
ARPC1B	0.12817477
ARPC2	0.95202965
ARPC3	0.28585005
ARPC4	0.27718825
ARPC5	0.65969704
ARPC5L	0.38285397
ARPIN	0.17633466
ARPP19	0.22317266
ARPP21	0.09474916
ARRB1	0.99901773
ARRB2	0.99865656
ARRDC1	0.09730714
ARRDC2	0.15234384
ARRDC3	0.97670014
ARRDC4	0.20943786
ARRDC5	0.16091707
ARSA	0.09388928
ARSB	0.07061917
ARSG	0.05704662
ARSI	0.25374156
ARSJ	0.09308069
ARSK	0.06181405
ART1	0.11470266
ART3	0.08690017
ART4	0.08115809
ART5	0.05281610
ARTN	0.63613709
ARV1	0.28097034
ARVCF	0.08902175
AS3MT	0.15187292
ASAH1	0.08614113
ASAH2	0.10800174
ASAH2B	0.00000000
ASAP1	0.94991425
ASAP2	0.56711108
ASAP3	0.08270177
ASB1	0.11451759
ASB10	0.07439597
ASB13	0.05145660
ASB14	0.29743734
ASB15	0.07559035
ASB16	0.12889839
ASB17	0.08330909
ASB18	0.08251158
ASB2	0.09549468
ASB3	0.07108423
ASB4	0.22650777
ASB5	0.07233300
ASB6	0.07528976
ASB7	0.75480631
ASB8	0.07844129
ASCC1	0.05973687
ASCC2	0.06683691
ASCC3	0.83804081
ASCL1	0.99849580
ASCL2	0.87020750
ASCL3	0.07833499
ASCL4	0.19329778
ASF1A	0.99229262
ASF1B	0.93352365
ASGR1	0.07660544
ASGR2	0.06530241
ASH1L	0.99995223
ASH2L	0.99281267
ASIC1	0.73809709
ASIC2	0.82945639
ASIC3	0.10740182
ASIC4	0.34354140
ASIC5	0.06933914
ASIP	0.08660196
ASL	0.06467371
ASNA1	0.20928066
ASNS	0.07019453
ASNSD1	0.11152551
ASPA	0.08022615
ASPDH	0.09800679
ASPG	0.06961481
ASPH	0.07172328
ASPHD1	0.20130483
ASPHD2	0.24007815
ASPM	0.06047874
ASPN	0.49793828
ASPRV1	0.10574182
ASPSCR1	0.06464611
ASRGL1	0.10283902
ASS1	0.13462974
ASTE1	0.19348048
ASTL	0.06345688
ASTN1	0.28600167
ASTN2	0.52539238
ASXL1	0.94305213
ASXL2	0.82302512
ASXL3	0.56056674
ASZ1	0.05162783
ATAD1	0.26376253
ATAD2	0.39651266
ATAD2B	0.87656236
ATAD3A	0.09177842
ATAD3B	0.37746282
ATAD3C	0.06939495
ATAD5	0.95967453
ATAT1	0.07312323
ATCAY	0.05668247
ATE1	0.10336035
ATF1	0.70605692
ATF2	0.99985933
ATF3	0.95685944
ATF4	0.88456426
ATF5	0.07227068
ATF6	0.29603188
ATF6B	0.11160455
ATF7	0.90249067
ATF7IP	0.59819660
ATF7IP2	0.09304691
ATG10	0.05926362
ATG101	0.24723841
ATG12	0.13023454
ATG13	0.37822554
ATG14	0.17902447
ATG16L1	0.62746718
ATG16L2	0.08649877
ATG2A	0.43343256
ATG2B	0.08199459
ATG3	0.92652384
ATG4B	0.47005997
ATG4C	0.22123543
ATG4D	0.09069686
ATG5	0.99731498
ATG7	0.61657422
ATG9A	0.31577855
ATG9B	0.08576693
ATIC	0.28542606
